Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-20 00:00:00+08:00,0.470000,0.510000,0.470000,0.480000,332430,0.000000,0.000000
2020-01-21 00:00:00+08:00,0.470000,0.490000,0.470000,0.480000,144020,0.000000,0.000000
2020-01-22 00:00:00+08:00,0.470000,0.470000,0.440000,0.450000,160670,0.000000,0.000000
2020-01-23 00:00:00+08:00,0.440000,0.450000,0.420000,0.430000,90010,0.000000,0.000000
2020-01-24 00:00:00+08:00,0.440000,0.440000,0.410000,0.440000,34710,0.000000,0.000000
2020-01-28 00:00:00+08:00,0.380000,0.420000,0.380000,0.420000,56130,0.000000,0.000000
2020-01-29 00:00:00+08:00,0.430000,0.450000,0.410000,0.450000,83570,0.000000,0.000000
2020-01-30 00:00:00+08:00,0.460000,0.460000,0.420000,0.420000,48230,0.000000,0.000000
2020-01-31 00:00:00+08:00,0.440000,0.440000,0.390000,0.390000,22700,0.000000,0.000000
2020-02-03 00:00:00+08:00,0.400000,0.420000,0.400000,0.420000,75990,0.000000,0.000000
2020-02-04 00:00:00+08:00,0.410000,0.430000,0.410000,0.420000,142370,0.000000,0.000000
2020-02-05 00:00:00+08:00,0.430000,0.470000,0.420000,0.440000,159020,0.000000,0.000000
2020-02-06 00:00:00+08:00,0.450000,0.450000,0.440000,0.440000,18000,0.000000,0.000000
2020-02-07 00:00:00+08:00,0.450000,0.450000,0.410000,0.440000,99820,0.000000,0.000000
2020-02-10 00:00:00+08:00,0.420000,0.490000,0.420000,0.470000,236550,0.000000,0.000000
2020-02-11 00:00:00+08:00,0.480000,0.490000,0.460000,0.470000,61480,0.000000,0.000000
2020-02-12 00:00:00+08:00,0.490000,0.490000,0.450000,0.470000,33420,0.000000,0.000000
2020-02-13 00:00:00+08:00,0.470000,0.510000,0.470000,0.490000,47520,0.000000,0.000000
2020-02-14 00:00:00+08:00,0.500000,0.500000,0.450000,0.450000,42870,0.000000,0.000000
2020-02-17 00:00:00+08:00,0.490000,0.490000,0.490000,0.490000,10,0.000000,0.000000
2020-02-18 00:00:00+08:00,0.470000,0.500000,0.470000,0.500000,45000,0.000000,0.000000
2020-02-19 00:00:00+08:00,0.490000,0.530000,0.490000,0.520000,416340,0.000000,0.000000
2020-02-20 00:00:00+08:00,0.490000,0.510000,0.470000,0.500000,146810,0.000000,0.000000
2020-02-21 00:00:00+08:00,0.460000,0.500000,0.430000,0.500000,160000,0.000000,0.000000
