Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RClose
2022-07-25 00:00:00+08:00,3.669828,3.755615,3.669828,3.746084,8256836,0.000000,0.000000,3.802805
2022-07-26 00:00:00+08:00,3.688891,3.727019,3.679360,3.688891,4663611,0.000000,0.000000,3.746097
2022-07-27 00:00:00+08:00,3.679360,3.707956,3.669828,3.698424,4027313,0.000000,0.000000,3.756116
2022-07-28 00:00:00+08:00,3.717487,3.736552,3.688891,3.736552,6917379,0.000000,0.000000,3.794730
2022-07-29 00:00:00+08:00,3.765148,3.793744,3.717487,3.736552,6277016,0.000000,0.000000,3.795216
2022-08-01 00:00:00+08:00,3.755615,3.822340,3.755615,3.803276,6713646,0.000000,0.000000,3.862426
2022-08-02 00:00:00+08:00,3.793744,3.803276,3.736552,3.746084,3292146,0.000000,0.000000,3.805720
2022-08-03 00:00:00+08:00,3.755616,3.793744,3.727019,3.765148,3512747,0.000000,0.000000,3.825269
2022-08-04 00:00:00+08:00,3.793744,3.831872,3.774680,3.831872,6182923,0.000000,0.000000,3.892479
2022-08-05 00:00:00+08:00,3.822340,3.831872,3.784212,3.784212,3382683,0.000000,0.000000,3.845305
2022-08-08 00:00:00+08:00,3.803276,3.822340,3.765148,3.822340,3574426,0.000000,0.000000,3.883919
2022-08-10 00:00:00+08:00,3.822340,3.908128,3.822340,3.908128,6738439,0.000000,0.000000,3.970193
2022-08-11 00:00:00+08:00,3.765148,3.784212,3.612636,3.736552,27335618,0.000000,0.000000,3.799103
2022-08-12 00:00:00+08:00,3.736552,3.736552,3.679360,3.688891,12275310,0.000000,0.000000,3.751927
2022-08-15 00:00:00+08:00,3.688891,3.717487,3.650764,3.650764,9053479,0.000000,0.000000,3.714286
2022-08-16 00:00:00+08:00,3.660295,3.736552,3.641232,3.736552,7665044,0.000000,0.000000,3.800560
2022-08-17 00:00:00+08:00,3.746084,3.793744,3.736552,3.784212,6858647,0.000000,0.000000,3.848706
2022-08-18 00:00:00+08:00,3.746084,3.765148,3.717488,3.717488,4561084,0.000000,0.000000,3.782468
2022-08-19 00:00:00+08:00,3.717487,3.727019,3.669828,3.688891,4205542,0.000000,0.000000,3.754357
2022-08-22 00:00:00+08:00,3.660295,3.698424,3.660295,3.669828,5702905,0.000000,0.000000,3.735779
2022-08-23 00:00:00+08:00,3.660295,3.679360,3.622167,3.631699,8230518,0.000000,0.000000,3.698136
2022-08-24 00:00:00+08:00,3.622167,3.631699,3.584040,3.584040,8952476,0.000000,0.000000,3.650963
2022-08-25 00:00:00+08:00,3.593571,3.631699,3.584040,3.603104,3921331,0.000000,0.000000,3.670513
2022-08-26 00:00:00+08:00,3.612636,3.641232,3.593571,3.593571,3188806,0.000000,0.000000,3.661466
2022-08-29 00:00:00+08:00,3.564975,3.593571,3.545912,3.555443,7495250,0.000000,0.000000,3.623824
2022-08-30 00:00:00+08:00,3.555443,3.603104,3.555443,3.584040,5411277,0.000000,0.000000,3.652906
2022-08-31 00:00:00+08:00,3.555443,3.564975,3.517315,3.517315,16382897,0.000000,0.000000,3.586667
2022-09-01 00:00:00+08:00,3.526847,3.555443,3.526847,3.545912,5665715,0.000000,0.000000,3.615750
2022-09-02 00:00:00+08:00,3.545912,3.555443,3.507784,3.507784,5394714,0.000000,0.000000,3.578108
2022-09-05 00:00:00+08:00,3.507784,3.526847,3.498251,3.498251,2813652,0.000000,0.000000,3.569061
2022-09-06 00:00:00+08:00,3.498251,3.536380,3.488719,3.498251,3710384,0.000000,0.000000,3.569547
2022-09-07 00:00:00+08:00,3.479188,3.498251,3.441060,3.441060,8728217,0.000000,0.000000,3.512841
2022-09-08 00:00:00+08:00,3.450592,3.488719,3.441060,3.441060,8304696,0.000000,0.000000,3.513327
2022-09-09 00:00:00+08:00,3.469655,3.507784,3.469655,3.479187,7651530,0.000000,0.000000,3.551940
2022-09-12 00:00:00+08:00,3.507784,3.507784,3.460123,3.479187,4950159,0.000000,0.000000,3.552426
2022-09-13 00:00:00+08:00,3.488719,3.584040,3.488719,3.574508,9194619,0.000000,0.000000,3.648233
2022-09-14 00:00:00+08:00,3.507784,3.545912,3.507784,3.526847,6953756,0.000000,0.000000,3.601058
2022-09-15 00:00:00+08:00,3.536380,3.536380,3.479188,3.488719,5286090,0.000000,0.000000,3.563415
2022-09-16 00:00:00+08:00,3.479187,3.517315,3.460123,3.507784,15262822,0.000000,0.000000,3.582966
2022-09-19 00:00:00+08:00,3.488719,3.507784,3.469655,3.479187,4850579,0.000000,0.000000,3.554855
2022-09-20 00:00:00+08:00,3.479188,3.507784,3.469655,3.488719,4984098,0.000000,0.000000,3.564873
2022-09-21 00:00:00+08:00,3.469655,3.488719,3.450591,3.460123,5253777,0.000000,0.000000,3.536763
2022-09-22 00:00:00+08:00,3.450591,3.479187,3.431527,3.479187,6247853,0.000000,0.000000,3.556313
2022-09-23 00:00:00+08:00,3.479188,3.479188,3.412464,3.441060,9970736,0.000000,0.000000,3.518671
2022-09-26 00:00:00+08:00,3.421995,3.431527,3.374335,3.383867,10469654,0.000000,0.000000,3.461964
2022-09-27 00:00:00+08:00,3.383867,3.402931,3.336207,3.355271,12116184,0.000000,0.000000,3.433854
2022-09-28 00:00:00+08:00,3.355271,3.374335,3.221823,3.221823,14271184,0.000000,0.000000,3.300892
2022-09-29 00:00:00+08:00,3.269483,3.307611,3.231355,3.231355,15960900,0.000000,0.000000,3.310910
2022-09-30 00:00:00+08:00,3.221823,3.317143,3.183694,3.307611,15312815,0.000000,0.000000,3.387651
2022-10-03 00:00:00+08:00,3.259951,3.288547,3.221823,3.221823,7853637,0.000000,0.000000,3.302349
2022-10-04 00:00:00+08:00,3.288547,3.317143,3.250419,3.317143,7013911,0.000000,0.000000,3.398155
2022-10-05 00:00:00+08:00,3.355271,3.383867,3.326675,3.383867,6807028,0.000000,0.000000,3.465365
2022-10-06 00:00:00+08:00,3.393399,3.402931,3.307611,3.326675,4910225,0.000000,0.000000,3.408659
2022-10-07 00:00:00+08:00,3.326675,3.355271,3.279014,3.279014,6285552,0.000000,0.000000,3.361484
2022-10-10 00:00:00+08:00,3.240887,3.279014,3.202759,3.250419,6457887,0.000000,0.000000,3.333374
2022-10-11 00:00:00+08:00,3.259951,3.298079,3.202759,3.202759,5663886,0.000000,0.000000,3.286200
2022-10-12 00:00:00+08:00,3.221823,3.231355,3.155099,3.164631,10965828,0.000000,0.000000,3.248558
2022-10-13 00:00:00+08:00,3.174162,3.183694,3.078842,3.078842,10140734,0.000000,0.000000,3.163255
2022-10-14 00:00:00+08:00,3.136035,3.136035,3.050246,3.059779,8934287,0.000000,0.000000,3.144678
2022-10-17 00:00:00+08:00,3.069311,3.097907,3.012118,3.059779,10758945,0.000000,0.000000,3.145164
2022-10-18 00:00:00+08:00,3.097907,3.116970,3.021650,3.088374,8405495,0.000000,0.000000,3.174244
2022-10-19 00:00:00+08:00,3.097906,3.126503,3.031183,3.031183,6312174,0.000000,0.000000,3.117539
2022-10-20 00:00:00+08:00,3.031183,3.097907,3.021650,3.088374,6954569,0.000000,0.000000,3.175216
2022-10-21 00:00:00+08:00,3.088374,3.088374,3.012118,3.012118,5985083,0.000000,0.000000,3.099446
2022-10-25 00:00:00+08:00,3.021650,3.040714,2.859606,2.926330,16222451,0.000000,0.000000,3.014144
2022-10-26 00:00:00+08:00,2.935862,3.059779,2.926330,3.012118,9587656,0.000000,0.000000,3.100418
2022-10-27 00:00:00+08:00,3.031183,3.040714,2.964459,2.983522,6033756,0.000000,0.000000,3.072307
2022-10-28 00:00:00+08:00,2.954926,2.973990,2.878670,2.888202,14101085,0.000000,0.000000,2.977473
2022-10-31 00:00:00+08:00,2.907266,2.935862,2.850074,2.869138,21370349,0.000000,0.000000,2.958895
2022-11-01 00:00:00+08:00,2.878670,2.983522,2.859606,2.954926,11673103,0.000000,0.000000,3.045169
2022-11-02 00:00:00+08:00,2.973990,2.993054,2.935862,2.935862,13778160,0.000000,0.000000,3.026591
2022-11-03 00:00:00+08:00,2.926329,2.935862,2.888202,2.897733,5440338,0.000000,0.000000,2.988948
2022-11-04 00:00:00+08:00,2.916798,3.078842,2.878670,3.059779,29944725,0.000000,0.000000,3.151479
2022-11-07 00:00:00+08:00,3.031183,3.107438,3.002586,3.088374,12130715,0.000000,0.000000,3.180560
2022-11-08 00:00:00+08:00,3.088374,3.202759,3.059779,3.193227,17624603,0.000000,0.000000,3.285899
2022-11-09 00:00:00+08:00,3.174162,3.202759,3.155099,3.193227,10297014,0.000000,0.000000,3.286385
2022-11-10 00:00:00+08:00,3.174162,3.269483,3.164631,3.193227,12774634,0.000000,0.000000,3.286871
2022-11-11 00:00:00+08:00,3.336207,3.450591,3.326675,3.393399,19963725,0.000000,0.000000,3.487529
2022-11-14 00:00:00+08:00,3.421995,3.469655,3.355271,3.412463,18832167,0.000000,0.000000,3.507078
2022-11-15 00:00:00+08:00,3.364803,3.479187,3.364803,3.450591,13930172,0.000000,0.000000,3.545692
2022-11-16 00:00:00+08:00,3.421995,3.517315,3.421995,3.460123,11440461,0.000000,0.000000,3.555710
2022-11-17 00:00:00+08:00,3.507784,3.545912,3.450591,3.498251,10476970,0.000000,0.000000,3.594324
2022-11-18 00:00:00+08:00,3.498251,3.507784,3.431527,3.450591,9376912,0.000000,0.000000,3.547150
2022-11-21 00:00:00+08:00,3.450592,3.479188,3.402931,3.441060,5765905,0.000000,0.000000,3.538105
2022-11-22 00:00:00+08:00,3.441060,3.450591,3.393399,3.412463,4504689,0.000000,0.000000,3.509993
2022-11-23 00:00:00+08:00,3.450592,3.460123,3.421995,3.441060,4911343,0.000000,0.000000,3.539076
2022-11-24 00:00:00+08:00,3.460123,3.479187,3.393399,3.431527,7963176,0.000000,0.000000,3.530029
2022-11-25 00:00:00+08:00,3.450591,3.479187,3.431527,3.460123,3734872,0.000000,0.000000,3.559111
2022-11-28 00:00:00+08:00,3.450591,3.469655,3.364803,3.412463,10122342,0.000000,0.000000,3.511937
